,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
737,23339.759766,23339.759766,2013-01-17,23504.730469,23222.960938,23471.669922,%5eHSI,1316299000
736,23601.779297,23601.779297,2013-01-18,23606.50,23450.769531,23509.490234,%5eHSI,1934485200
735,23590.910156,23590.910156,2013-01-21,23639.630859,23535.470703,23565.960938,%5eHSI,1104208000
734,23658.990234,23658.990234,2013-01-22,23685.550781,23498.960938,23596.380859,%5eHSI,1361101400
733,23635.099609,23635.099609,2013-01-23,23710.869141,23540.419922,23700.449219,%5eHSI,1536963300
732,23598.900391,23598.900391,2013-01-24,23688.789062,23547.789062,23585.099609,%5eHSI,1428556300
731,23580.429688,23580.429688,2013-01-25,23666.390625,23481.369141,23653.539062,%5eHSI,1620959000
730,23671.880859,23671.880859,2013-01-28,23736.019531,23621.949219,23621.949219,%5eHSI,1443566900
729,23655.169922,23655.169922,2013-01-29,23707.109375,23602.849609,23659.109375,%5eHSI,3153976000
728,23822.060547,23822.060547,2013-01-30,23916.160156,23765.570312,23767.330078,%5eHSI,1961876000
